review_name,review_name_url,review_short_review,review_short_review_url,review_place_and_date,review_full_review,review_rating,review_rating_url
K,https://www.amazon.com/gp/profile/amzn1.account.AGH4MGMT4KXF6TJAA5JGLDCHFX3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great little glue gun,https://www.amazon.com/gp/customer-reviews/R188CI6Q868M1R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on December 7, 2020",Works great for the price! Love having a glue gun for projects for my sons class activities.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R188CI6Q868M1R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Daisy D,https://www.amazon.com/gp/profile/amzn1.account.AGS5PALQN6DRNIXVJPH5JBDTGODQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good for price,https://www.amazon.com/gp/customer-reviews/R2I9YEHNLWECNK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on December 20, 2019",Used once so far. Did not work too well with felt fabric on the first try.,4.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R2I9YEHNLWECNK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Felipe Serrano,https://www.amazon.com/gp/profile/amzn1.account.AFPPDBEYWXIU4NFHK5VQNO3YEFKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great Buy,https://www.amazon.com/gp/customer-reviews/R3IVIZ59567L8X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on June 14, 2021",Great Buy,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R3IVIZ59567L8X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AHCULLUUXHMMKRQSS7KFYQ7MX3RQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Bang for buck!,https://www.amazon.com/gp/customer-reviews/R16C6DSTQ1VJR3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on November 16, 2020","Bought a on a whim for crafts and love it!
Very light and deff worth the couple bucks",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R16C6DSTQ1VJR3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
User,https://www.amazon.com/gp/profile/amzn1.account.AEPTTE2HWV2U4U3ULXVVEDYXVJZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great value,https://www.amazon.com/gp/customer-reviews/R1HDFFZ3LQIDNG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on April 24, 2021",It's easy to use and in good quality,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R1HDFFZ3LQIDNG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Drew,https://www.amazon.com/gp/profile/amzn1.account.AF65MQHKVHZMLOXASC6TAFYBQP4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Still works after a year.,https://www.amazon.com/gp/customer-reviews/R25RNSJDFZULAK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on March 18, 2020","Pros: cheap about the same price as most small glue guns.
Suprisingly durable and has held up to use by students.
Cons; slow to heat up ~2 min but not really a big deal in life.",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R25RNSJDFZULAK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
DV54,https://www.amazon.com/gp/profile/amzn1.account.AHDLGPOGPWYYCDPJTTAVF7ZDOLMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Simple and good quality,https://www.amazon.com/gp/customer-reviews/R148U3CU2NM8FP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on September 2, 2020",Simple and easy glue gun kit. Does it exactly what’s needed and comes with spare glue sticks. Happy I made this purchase,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R148U3CU2NM8FP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Bigddybn,https://www.amazon.com/gp/profile/amzn1.account.AHX7TZTDNXOKADOWMAQF3KUW3DQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Dirt cheap but gets the job done,https://www.amazon.com/gp/customer-reviews/R3A8XB5APXPE12/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on April 3, 2020",Takes a bit to warm up but works like you'd expect any decent glue gun to work. Comes with plenty of spare glue sticks which is nice. Hard to argue with the price.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R3A8XB5APXPE12/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Merajade,https://www.amazon.com/gp/profile/amzn1.account.AFPWY3AQMQTDMN66BXHH7FKIW2OQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Perfect temp,https://www.amazon.com/gp/customer-reviews/R2MDRUSO50257T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on April 27, 2018","Well hey it's a glue gun. What I loved though is that is gets hot, but not so hot that it would burn when you go to smear with your finger if you are fast, and have thick skinned fingers. Maybe that multimedia art style has built up my hands, I wouldn't advise most people to try that. But it is what made it a five for me.",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R2MDRUSO50257T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Ka$h,https://www.amazon.com/gp/profile/amzn1.account.AEXMBMNSQNR6FU62HJLF5TKU6JXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,As expected,https://www.amazon.com/gp/customer-reviews/RTQ5IWSBFIJHL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on April 23, 2020",Great for the price.,4.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/RTQ5IWSBFIJHL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Marcy R,https://www.amazon.com/gp/profile/amzn1.account.AGMRKXCD5O7U3VLZO2YY7CMYSTJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great little glue gun!,https://www.amazon.com/gp/customer-reviews/R34BAHJWL0IA4O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on January 8, 2021",Great little glue gun! Works well and at a nice price point!,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R34BAHJWL0IA4O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
awmartian,https://www.amazon.com/gp/profile/amzn1.account.AGRPLFKYHCASSJ2Q4XZVMSWGDX4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Mini Hi-Temp Glue Gun,https://www.amazon.com/gp/customer-reviews/R26I15CDUVKVD8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on August 21, 2018",It works and it was cheap. I used it to redo the sisal twist rope on our cat trees. The glue gun heats up fairly quickly. I can load glue sticks one handed which is nice. I didn't have a problem with excess dripping out in between uses. It was a good value for the price I paid and it even came with 10 glue sticks.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R26I15CDUVKVD8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Kelly,https://www.amazon.com/gp/profile/amzn1.account.AGL3DNBGKTECWNPN7LYKJAQLPHCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,good for little craft projects,https://www.amazon.com/gp/customer-reviews/RR272D218HE8T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on December 5, 2019",Perfect little hot glue gun for a small craft project I was doing. I'm not much of a crafter but it was simple to use and worked for my project. Will use it again for my small projects in the future,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/RR272D218HE8T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Wood Hite,https://www.amazon.com/gp/profile/amzn1.account.AF2UXWSTZEA2DE46WGZIV6LVCTIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Works great!,https://www.amazon.com/gp/customer-reviews/R1YXCDI1SSUJ03/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on June 16, 2020",I've glued a lot of stuff and only burned my fingers eleven times. The hot part of the glue is beyond my learning curve.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R1YXCDI1SSUJ03/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Tiffany,https://www.amazon.com/gp/profile/amzn1.account.AHMS55BBXMKMRMZ4YUGHHP757XLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Glue sticks? Never heard of ' em. -This Glue Gun,https://www.amazon.com/gp/customer-reviews/R1S57XLGUNEB2G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on October 26, 2019",This thing FLIES through glue sticks. That's for sure. Other than that...it was pretty alright.,4.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R1S57XLGUNEB2G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Marina Avila,https://www.amazon.com/gp/profile/amzn1.account.AE4IXS56F2VJVWXPXXAPSKSQSY7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Thumbs up,https://www.amazon.com/gp/customer-reviews/R33S3YXKIJ70Y4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on April 8, 2020",We needs a hot glue gun for a very small project we are doing and this was perfect!! I ordered it and it came the next day. The price is incredible.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R33S3YXKIJ70Y4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Ro7068,https://www.amazon.com/gp/profile/amzn1.account.AGY7PU5G7VFQKPCY52O46MKP45GQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,GREAT LITTLE GLUE GUN!,https://www.amazon.com/gp/customer-reviews/RVUTNUDF05IHY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on March 7, 2017","Love everything about this! It's obviously not for industrial or commercial work, but for all the arts and crafts that require a glue gun, this one is perfect! I love how small it is and the sharp point lets out just enough hot glue. It does not drip and is very easy to use. I actually got a couple more as the price was so great. It only comes with 10 mini glue sticks so you might want to buy a package of the mini glue sticks to keep around.",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/RVUTNUDF05IHY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Nicole C.,https://www.amazon.com/gp/profile/amzn1.account.AGIZBINXBVIJZJBKZWQYITPHMQAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great Glue Gun for the Uninitiated,https://www.amazon.com/gp/customer-reviews/R2WN6P97N4ETSY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on November 28, 2019",Having no prior experience using a glue gun this little guy was extremely easy to use. Yes I burned myself many times putting together the kissing balls for my centerpieces but I can’t blame the glue gun for that. 😬,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R2WN6P97N4ETSY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Shane,https://www.amazon.com/gp/profile/amzn1.account.AELSDQXFPQCOCQMWTTLHEVHFPZ5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Best thing I've bought in a year,https://www.amazon.com/gp/customer-reviews/R1XIFAB0VHFAB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on December 31, 2019","Works amazingly well for a glue gun of this size. I was able to fix a bunch of stuff that was breaking throughout the past years (a Christmas tree that was falling apart, a leaking beach ball... )",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R1XIFAB0VHFAB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Danielle Lenhart,https://www.amazon.com/gp/profile/amzn1.account.AFKRQFAJ4X7MFG7AU7FAZ6GCNQJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Slow Shipping,https://www.amazon.com/gp/customer-reviews/R1KHHKUYCNB0YH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on August 2, 2017","Gun itself is great for the price. Comes with a few glue sticks so you are ready to use. Reasonable ""heat up"" time and it appears to be pretty safe. Negatives, the shipping was really long. Pretty sure I waited 3 weeks from order date to when i received.",4.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R1KHHKUYCNB0YH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Kimberly,https://www.amazon.com/gp/profile/amzn1.account.AHHMFS5VTXKCBHZQ3HBLSFHWVNYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Small,https://www.amazon.com/gp/customer-reviews/R3MTNZNMXGNK37/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on May 25, 2021",Cool,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R3MTNZNMXGNK37/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Tiger,https://www.amazon.com/gp/profile/amzn1.account.AEQN7NL2LYOW3DTLA5N2RKB5L47Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,nice low cost glue gun,https://www.amazon.com/gp/customer-reviews/R2J6J4IXSJCIKE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on April 11, 2021",works good does the job,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R2J6J4IXSJCIKE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
L,https://www.amazon.com/gp/profile/amzn1.account.AE6OFX2VXBPNDLYNUXKHO7YKNUKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great!,https://www.amazon.com/gp/customer-reviews/RUPDOMHF2SZNP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on January 12, 2021",Heats very quickly! Small but perfect for any hot glue job!,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/RUPDOMHF2SZNP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Crevise M.,https://www.amazon.com/gp/profile/amzn1.account.AERHCLKEUUU2BX65KYKZJ4AO5Z5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good value for price,https://www.amazon.com/gp/customer-reviews/R2BS7KTB38VW1D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on May 21, 2020","Actually I was suprised in a good way, no drip heated up fast, I would not suggest using on fabricbecause it hardened any other crafts yea",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R2BS7KTB38VW1D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Ankita D,https://www.amazon.com/gp/profile/amzn1.account.AG3JVBZLBIWHEZCPSEAFDBF2HAQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Very handy and useful,https://www.amazon.com/gp/customer-reviews/R1GHUUFTB6HB8U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on October 7, 2019",It is as good as the bigger ones available. It does the job perfectly and so easy to carry anywhere. The glue sticks it comes with are not of good quality so I bought gorilla glue sticks and it works perfectly fine with it.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R1GHUUFTB6HB8U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Alex,https://www.amazon.com/gp/profile/amzn1.account.AFUT72Z3WJBTYZQ76GAC6WHNYZCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Get it,https://www.amazon.com/gp/customer-reviews/R1EQ2JHZRDBLHF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on March 30, 2021",Worth the money. Perfect for projects,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R1EQ2JHZRDBLHF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Anna Cronin-Diehl,https://www.amazon.com/gp/profile/amzn1.account.AHHVIEHHUA2QQEUBF5OY7GKRQLBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good for the price!,https://www.amazon.com/gp/customer-reviews/R1J9ADA46WZG4Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on April 5, 2020",Light weight. Works well!,4.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R1J9ADA46WZG4Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Tom Stiles (hamrad88),https://www.amazon.com/gp/profile/amzn1.account.AGPUB4A5SS6DGOUK3R4CT7EWVGLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Does The Job,https://www.amazon.com/gp/customer-reviews/R3R4WZ43P4WBVL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on December 20, 2019",This is not a high tech glue but it does what you need for small jobs and the price is right. If you need more features it will cost you much more.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R3R4WZ43P4WBVL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Forest Bil,https://www.amazon.com/gp/profile/amzn1.account.AEVFUPXHMQAPIY7QA4QJDQZZR7ZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Fantastic glue gun,https://www.amazon.com/gp/customer-reviews/R415W30CVXLJQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on February 27, 2020",Great little glue gun. Very easy to use. Perfect for beginner crafters. I used this to hot glue photos inside of mason jar lids and magnets to the backs for Christmas gifts.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R415W30CVXLJQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Natalee,https://www.amazon.com/gp/profile/amzn1.account.AEDBPEHLSJYU5RIGKSJEUY35V4NQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Nice little glue gun,https://www.amazon.com/gp/customer-reviews/R20W8OB3X39GD6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on May 16, 2020",this glue gun is very nice for the price I used it to make mothers day gifts and it held up to par,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R20W8OB3X39GD6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
rusty,https://www.amazon.com/gp/profile/amzn1.account.AH2C6IRL3XD3SF74YB3D4LEBQOBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good value,https://www.amazon.com/gp/customer-reviews/R3C09IZYZAAWQH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on December 16, 2020",Got the job done. Glued sisal rope for cat scratching post.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R3C09IZYZAAWQH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Lauren and Donald,https://www.amazon.com/gp/profile/amzn1.account.AE4KYLXKVFLPNGM434P5PGP4LVPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Perfect little glue gun. Effective and good price,https://www.amazon.com/gp/customer-reviews/R33115KT8ECFFX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on February 25, 2020","This tiny, amazing glue gun does exactly what Its supposed to do, and its sturdy! Price point was better than I had hoped for and it's perfect for our home crafts!",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R33115KT8ECFFX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Sharon,https://www.amazon.com/gp/profile/amzn1.account.AGNSN5DYXAEHCVVRTLYFPSBIFE6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,My first hot glue gun,https://www.amazon.com/gp/customer-reviews/RB2VIE3F07KL7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on November 29, 2019",I figured my first glue gun should be small and inexpensive so I got this when it was on sale. It's super easy to use and worked great when I used it to decorate my holiday wreath.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/RB2VIE3F07KL7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
William E. Parker,https://www.amazon.com/gp/profile/amzn1.account.AHUOCN5MNS2QZCC7PNI3PDLABZOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good value for the money.,https://www.amazon.com/gp/customer-reviews/RTUE8U25VUO8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on January 27, 2020",Not expensive but does a good job.,4.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/RTUE8U25VUO8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Mark P.,https://www.amazon.com/gp/profile/amzn1.account.AEE5D53TECK7Z63YQVGWPQ7QAQ5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Get more than what you paid for....,https://www.amazon.com/gp/customer-reviews/R30W9RY2GHIW76/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on April 18, 2020",My first one lasted a few years after using it almost 5 days a week. This new one feels like it might last much longer.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R30W9RY2GHIW76/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Ed Gonzalez Sr,https://www.amazon.com/gp/profile/amzn1.account.AGSGNJRDPQG5CRRHOC6VMMNZMF2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Price is right,https://www.amazon.com/gp/customer-reviews/R1NLWQBPTOLIN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on April 7, 2020",Liked the price the most. I used it to glue a small hat on a project being made. I wouldn't recommend this for doing big home projects.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R1NLWQBPTOLIN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Jace,https://www.amazon.com/gp/profile/amzn1.account.AETKDXZY57634ZOKE3DOKXDECSTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Affordable pricing,https://www.amazon.com/gp/customer-reviews/R2SG03Z00HOM19/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on November 27, 2020","Great product for the price, definitely order some additional glue sticks.",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R2SG03Z00HOM19/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Natalie,https://www.amazon.com/gp/profile/amzn1.account.AGGZ5JS7IQDP75BZHY3MHOMQG54A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great for the $$,https://www.amazon.com/gp/customer-reviews/R38WL0H7I1W3BZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on December 15, 2019",I’ve only used the glue gun a couple of times but it works great so far! I love how small it is. It heats up very fast and melts the glue sticks evenly. No complaints,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R38WL0H7I1W3BZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Misnsomething,https://www.amazon.com/gp/profile/amzn1.account.AFGLF4CPA3SGJQP6VKDGILY7F3UA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Excellent especially for the price,https://www.amazon.com/gp/customer-reviews/RY9AMAZIYOFJI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on May 5, 2021",It's perfect!,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/RY9AMAZIYOFJI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Maggie,https://www.amazon.com/gp/profile/amzn1.account.AGJFVJMHCH572EK72QDEFFEGTQXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great glue gun,https://www.amazon.com/gp/customer-reviews/R2LNS86I3CLDY9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on October 15, 2020","Love this mini glue gun, gets the job done and does get really hot.",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R2LNS86I3CLDY9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Jasmine Patrick,https://www.amazon.com/gp/profile/amzn1.account.AHMDF42VCUS5GVRSUG7ERTKQCZPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,I received a glue gun that doesn’t work,https://www.amazon.com/gp/customer-reviews/R2Q35DHNSFBFQO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on July 25, 2022",I just open my glue gun and it’s not working. The tool is malfunctioning.,1.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R2Q35DHNSFBFQO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
